Index,tag,Frequency,err,LgInt,dr,ELO,gup,qn1,qn2,qn3,qn4,qn5,qn6,qnn1,qnn2,qnn3,qnn4,qnn5,qnn6,Formula,qnfmt,qlog300,qlog225,qlog150,qlog75,qlog37,qlog18,qlog9,Transition,CHECK,Source,delta x,delta y,C,Area,delta Area,Width,delta Width,Velocity,delta Velocity,Intensity,delta Intensity,Continuum,delta Continuum,Cont.Size,Fraction,SourceSize,delta SourceSize,Telescope,N/EM,delta N/EM,Tex/Te,delta Tex/Te,Tbg,tau/taul,delta tau/taul,Filtered
33,60003,78259.1506,0.0036,-7.7549,3,238.9939,86,21,6,16,4,,,20,7,13,5,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"21,6,16,4-20,7,13,5",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.435,12.0016985,-10.0,9.7,-10.0,0.0,1.9329963353919347E-20,0.0,false
34,60003,78259.312,0.03,-7.3682,3,257.0518,98,24,4,21,3,,,23,5,18,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"24,4,21,3-23,5,18,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.435,12.0016985,-10.0,9.7,-10.0,0.0,3.526367539468941E-21,0.0,false
35,60003,78282.959,0.01,-6.343,3,38.0705,54,13,2,11,2,,,13,2,12,1,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"13,2,11,2-13,2,12,1",true,,0.0,0.0,1,3.35035024320417E-6,,0.28281462,-10.0,5.8,-10.0,1.1128996814602282E-5,,0.0,0.0,0.0,,0.0,-10.0,31.425,12.0016985,-10.0,9.7,-10.0,0.0,1.6677332040470297E-6,0.0,true
36,60003,78335.499,0.01,-6.3422,3,38.0597,54,13,2,11,0,,,13,2,12,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"13,2,11,0-13,2,12,0",true,,0.0,0.0,1,3.3588928829752872E-6,,0.28281462,-10.0,5.8,-10.0,1.1157373244453008E-5,,0.0,0.0,0.0,,0.0,-10.0,31.404,12.0016985,-10.0,9.7,-10.0,0.0,1.6720813451804153E-6,0.0,true
37,60003,78377.689,0.01,-6.187,3,135.5988,98,24,5,19,2,,,24,5,20,1,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"24,5,19,2-24,5,20,1",true,,0.0,0.0,1,3.992268262191804E-12,,0.28281462,-10.0,5.8,-10.0,1.3260883390222702E-11,,0.0,0.0,0.0,,0.0,-10.0,31.387,12.0016985,-10.0,9.7,-10.0,0.0,1.9873829441935456E-12,0.0,false
38,60003,78416.531,0.03,-6.901,3,290.3197,102,25,8,18,4,,,24,9,16,4,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"25,8,18,4-24,9,16,4",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.372,12.0016985,-10.0,9.7,-10.0,0.0,8.705959430536049E-23,0.0,false
39,60003,78450.556,0.01,-6.1861,3,135.5972,98,24,5,19,0,,,24,5,20,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"24,5,19,0-24,5,20,0",true,,0.0,0.0,1,3.996258977009098E-12,,0.28281462,-10.0,5.8,-10.0,1.3275383865700692E-11,,0.0,0.0,0.0,,0.0,-10.0,31.358,12.0016985,-10.0,9.7,-10.0,0.0,1.9897889297944123E-12,0.0,false
40,60003,78468.169,0.03,-7.3807,3,220.3915,82,20,3,17,3,,,19,5,14,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"20,3,17,3-19,5,14,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.351,12.0016985,-10.0,9.7,-10.0,0.0,6.585860177602203E-19,0.0,false
41,60003,78477.5082,0.01,-7.3832,3,412.2094,114,28,16,12,5,,,29,15,14,5,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"28,16,12,5-29,15,14,5",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.347,12.0016985,-10.0,9.7,-10.0,0.0,7.235587393295755E-31,0.0,false
42,60003,78479.392,0.01,-5.1476,3,8.411,30,7,1,7,1,,,6,1,6,1,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"7,1,7,1-6,1,6,1",true,,0.0,0.0,1,0.003695109513802831,,0.28281462,-10.0,5.8,-10.0,0.012270128061843903,,0.0,0.0,0.0,,0.0,-10.0,31.346,12.0016985,-10.0,9.7,-10.0,0.0,0.0018408231138385331,0.0,true
43,60003,78481.388,0.01,-5.1475,3,8.3979,30,7,1,7,0,,,6,1,6,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"7,1,7,0-6,1,6,0",true,,0.0,0.0,1,0.0037027928239852853,,0.28281462,-10.0,5.8,-10.0,0.0122956330686585,,0.0,0.0,0.0,,0.0,-10.0,31.346,12.0016985,-10.0,9.7,-10.0,0.0,0.0018446570601373842,0.0,true
44,60003,78488.949,0.01,-6.4332,3,149.9272,38,9,3,7,4,,,9,2,8,4,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"9,3,7,4-9,2,8,4",true,,0.0,0.0,1,2.893132738584987E-13,,0.28281462,-10.0,5.8,-10.0,9.606880187736335E-13,,0.0,0.0,0.0,,0.0,-10.0,31.343,12.0016985,-10.0,9.7,-10.0,0.0,1.4395472230699324E-13,0.0,false
45,60003,78505.6598,0.031,-7.6271,3,599.9268,150,37,20,17,5,,,38,19,19,5,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"37,20,17,5-38,19,19,5",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.336,12.0016985,-10.0,9.7,-10.0,0.0,8.211245990301983E-43,0.0,false
46,60003,78517.436,0.01,-6.2896,3,21.023,42,10,1,9,2,,,10,0,10,2,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"10,1,9,2-10,0,10,2",true,,0.0,0.0,1,4.359844899195639E-5,,0.28281462,-10.0,5.8,-10.0,1.4482224576961667E-4,,0.0,0.0,0.0,,0.0,-10.0,31.331,12.0016985,-10.0,9.7,-10.0,0.0,2.170807643855691E-5,0.0,true
47,60003,78522.2567,0.0436,-7.6739,3,757.859,194,48,18,30,3,,,47,19,29,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"48,18,30,3-47,19,29,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.329,12.0016985,-10.0,9.7,-10.0,0.0,1.0546764696139176E-52,0.0,false
48,60003,78538.7626,0.0028,-7.9423,3,99.7328,86,21,4,18,0,,,22,1,21,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"21,4,18,0-22,1,21,0",true,,0.0,0.0,1,1.2033869915721381E-11,,0.28281462,-10.0,5.8,-10.0,3.997414841182591E-11,,0.0,0.0,0.0,,0.0,-10.0,31.323,12.0016985,-10.0,9.7,-10.0,0.0,5.991943277572937E-12,0.0,false
